name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Neosartorya fischeri::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum::Aspergillus candidus,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Neosartorya fischeri::Penicillium janthinellum::Penicillium sp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aspergillus oryzae::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trichosporon porosum::Trichosporon sp::Bullera unica,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phialosimplex chlamydosporus,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Cryptococcus aureus::Bullera nakhonratchasimensis::Trichosporon cutaneum,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Gibberella sp,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Neosartorya fischeri::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Neosartorya fischeri::Aspergillus fumigatus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aspergillus oryzae::Eupenicillium crustaceum::Penicillium janthinellum::Penicillium expansum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neosartorya fischeri::Penicillium sp,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Aspergillus niger::Eupenicillium crustaceum::Penicillium janthinellum::Penicillium expansum::Penicillium camemberti,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Neosartorya fischeri::Eupenicillium crustaceum::Penicillium janthinellum::Penicillium expansum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neosartorya fischeri::Eupenicillium crustaceum::Penicillium janthinellum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eupenicillium crustaceum::Penicillium janthinellum::Penicillium expansum::Penicillium allii::Penicillium camemberti,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Eupenicillium crustaceum::Penicillium janthinellum::Penicillium expansum::Penicillium allii,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Penicillium expansum::Eurotium cristatum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Umbelopsis isabellina::Umbelopsis sp,1473,0,57,0,133,0,492,0,0,0,16527,0,146,0,0,0,0,0
Helicostylum pulchrum::Pilaira anomala,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambomucor seriatoinflatus::Helicostylum pulchrum::Pilaira anomala,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucor genevensis::Helicostylum pulchrum::Pilaira anomala,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambomucor seriatoinflatus,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucor hiemalis,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicostylum pulchrum::Zygorhynchus moelleri::Pilaira anomala,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus aerius,0,0,0,0,0,0,25,0,0,0,0,0,22,0,0,0,0,0
Hydropisphaera peziza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Meliniomyces variabilis::Scytalidium lignicola::Leohumicola verrucosa,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elaphocordyceps ophioglossoides::Tolypocladium inflatum::Tolypocladium cylindrosporum,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resinicium bicolor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epichloe typhina::Claviceps paspali::Neotyphodium uncinatum,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullera unica,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0
Dioszegia buhagiarii,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Bullera nakhonratchasimensis::Papiliotrema bandonii,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0
Papiliotrema bandonii::Dioszegia buhagiarii,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Claviceps fusiformis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichosporon porosum::Trichosporon sp::Cryptococcus vishniacii,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0
Cryptococcus aureus::Cryptococcus vishniacii,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
